subject,predicate,object
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/256030
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/128101
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/610250
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/606353
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/606159
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/606002
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/605361
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/248900
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/224500
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/220111
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/610217
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/604360
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/205100
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/603034
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/609629
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/168601
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/128235
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/603516
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/611637
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/108600
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/611694
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/607694
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/612069
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/612067
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/300243
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/613327
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/613077
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/300000
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/613412
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/613435
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/613561
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/168600
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/257220
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/160900
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/300857
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/614381
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/614399
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/614487
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/308350
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/612319
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/615033
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/620249
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/614707
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/614744
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/614756
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/614877
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/606070
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/615471
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/615530
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/615599
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/615750
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/615945
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/615911
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/615919
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/616029
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/601462
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/258450
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/616795
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/616479
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/616439
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/616437
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/616364
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/608930
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/605809
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/617330
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/617282
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/617258
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/617235
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/617171
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/617162
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/617143
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/617086
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/617070
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/617069
